"Country","Top 5 Species 2006 (1st)","Top 5 Species 2006 (2nd)","Top 5 Species 2006 (3rd)","Top 5 Species 2006 (4th)","Top 5 Species 2006 (5th)","Total Landings 2006 (volume) T","Total Landings 2006 (value) ET","Number of non-trawlers (on 1 December 2007)","Number of trawlers (on 1 December 2007)","Number of vessels (on 1 December 2007)","Tonnage in GT (on 1 December 2007)","Engine power in kW (on 1 December 2007)"
"BE","Platija=5139","Lenguado=3991","Raya=1861","Bacalao=1551","Rape=1193",18259,82910,4,99,103,19578,60620
"BG","Mar caracoles=2773","Espadín=2655","Carpa=723","Carpa de cabeza grande=472","Carpín=135",4389,1698,2507,49,2556,8337,63101
"DK","Lanzones=256763","Espadín=183794","Arenque=139660","Bacaladilla=58184","Mejillón=54809",893954,445754,2266,713,2979,78069,281030
"DE","Arenque=80552","Bacaladilla=36442","Espadín=30797","Camarón=18819","Carbonero=17790",136686,113471,1459,440,1899,69342,162103
"EE","Espadín=46689","Arenque=23192","Camarón=6154","Perca=1680","Gallineta nórdicaes=1260","n/a","n/a",794,171,965,19336,49177
"IE","Bacaladilla=54910","Caballa=41226","Arenque=30780","Jurel / Chicharro=28856","Cangrejo=9808",220211,314810,1214,741,1955,71388,208993
"EL","Anchoa=14156","Sardina=11321","Merluza=4794","Boga=4059","Chucla=3355",96016,336186,16778,879,17657,90653,519940
"ES","Sardina=70099","Caballa=66237","Bacaladilla=56702","Atún barrilete=42113","Merluza=32522",777543,1679668,11507,1514,13021,468035,1059350
"FR","Rabil=63260","Atún barrilete=55126","Sardina=40294","Arenque=39607","Vieira=26876",325911,842042,5525,2061,7586,207992,1060490
"IT","Anchoa=81174","Almejas=19510","Merluza=18579","Sardina=14215","Gamba blanca=13986",299266,1518120,9455,4403,13858,197687,1161353
"CY","Bonito del norte=507","Chucla=259","Boga=253","Pulpo=119","Atún rojo=110",1900,5463,852,15,867,4994,38725
"LV","Espadín=54638","Arenque=21762","Caballa=17758","Sardinellas=15589","Sardina=8281","n/a","n/a",759,121,880,33806,57219
"LT","Caballa=56259","Anchoa=25791","Alacha=24846","Espadín=10814","Sardina=8711","n/a","n/a",194,53,247,60960,68891
"MT","Dorado=559","Pez espada=267","Atún rojo=261","Mielga=32","Meros=18",1298,5612,1372,22,1394,15064,97710
"NL","Bacaladilla=96607","Arenque=95915","Jurel / Chicharro=63599","Sandinella=45414","Platija=23947",781360,335687,231,609,840,163754,388950
"PL","Espadín=55891","Arenque=22070","Bacalao=15947","Platija=9427","Gallineta nórdica=4456","n/a","n/a",649,222,871,31241,99403
"PT","Sardina=74132","Estornino=17820","Jurel / Chicharro=17314","Gallineta nórdica=12806","Atún barrilete=11179",162526,213021,7946,720,8666,106624,380730
"RO","Pez de colores=2507","Brema=1278","Espadín=491","Rubio=250","Siluro=233","n/a","n/a",416,24,440,2606,8700
"SI","Anchoa=410","Sardina=298","Carpa común=80","Espadín=39","Pescadilla=33",931,1514,149,20,169,962,10234
"FI","Arenque=79955","Espadín=19020","Perca=13144","Lucio=10165","Pescado blanco=4612",26135,9296,3058,108,3166,15994,167746
"SE","Arenque=103352","Espadín=102748","Lanzones=32767","Bacalao=13247","Caballa=3386",270170,116577,1214,347,1561,43497,215677
"GB","Arenque=109611","Caballa=103046","Bacaladilla=82141","Cigala=41401","Eglefino=39799",426049,679924,4427,2413,6840,212609,860954
"AT","Pescado de agua dulce=360","n/a=n/a","n/a=n/a","n/a=n/a","n/a=n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"CZ","Carpa común=3656","Brema=217","Lucio=156","Lucioperca=147","Carpa herbívora=92","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"LU","n/a=n/a","n/a=n/a","n/a=n/a","n/a=n/a","n/a=n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"HU","Carpa común=3737","Carpa=1385","Carpa plateada=754","Carpa herbívora=393","Lucio=275","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"SK","Carpa común=1184","Brema=95","Pez de colores=72","Lucioperca=65","Lucio=61","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"EU","Carpa común=0","Brema=0","Pez de colores=0","Lucioperca=0","Lucio=0",4442604,6701753,72776,15744,88520,1922528,7021096
