Country,Top 5 Species 2006 (1st),Top 5 Species 2006 (2nd),Top 5 Species 2006 (3rd),Top 5 Species 2006 (4th),Top 5 Species 2006 (5th),Total Landings 2006 (volume) T,Total Landings 2006 (value) ET,Number of non-trawlers (on 1 December 2007),Number of trawlers (on 1 December 2007),Number of vessels (on 1 December 2007),Tonnage in GT (on 1 December 2007),Engine power in kW (on 1 December 2007)
BE,Plie=5139,Sole commune=3991,Raie=1861,Morue=1551,Baudroie=1193,18259,82910,4,99,103,19578,60620
BG,Escargot de mer=2773,Sprat=2655,Carpe commune=723,Carpe à grosse tête=472,Carassin=135,4389,1698,2507,49,2556,8337,63101
DK,Lançon=256763,Sprat=183794,Hareng=139660,Merlan bleu=58184,Moule commune=54809,893954,445754,2266,713,2979,78069,281030
DE,Hareng=80552,Merlan bleu=36442,Sprat=30797,Crevette grise=18819,Lieu noir=17790,136686,113471,1459,440,1899,69342,162103
EE,Sprat=46689,Hareng=23192,Crevette nordique=6154,Perche=1680,Sébaste=1260,n/a,n/a,794,171,965,19336,49177
IE,Merlan bleu=54910,Maquereau=41226,Hareng=30780,Chinchard=28856,Tourteau=9808,220211,314810,1214,741,1955,71388,208993
EL,Anchois=14156,Sardine=11321,Merlu commun=4794,Bogue=4059,Picarel=3355,96016,336186,16778,879,17657,90653,519940
ES,Sardine=70099,Maquereau=66237,Merlan bleu=56702,Bonite à ventre rayé=42113,Merlu commun=32522,777543,1679668,11507,1514,13021,468035,1059350
FR,Thon albacore=63260,Bonite à ventre rayé=55126,Sardine=40294,Hareng=39607,Coquille St-Jacques=26876,325911,842042,5525,2061,7586,207992,1060490
IT,Anchois=81174,Petite praire=19510,Merlu commun=18579,Sardine=14215,Crevette rose du large=13986,299266,1518120,9455,4403,13858,197687,1161353
CY,Thon albacore=507,Picarel=259,Bogue=253,Poulpe=119,Thon rouge=110,1900,5463,852,15,867,4994,38725
LV,Sprat=54638,Hareng=21762,Chinchard=17758,Sardinelle=15589,Sardine=8281,n/a,n/a,759,121,880,33806,57219
LT,Chinchard=56259,Anchois=25791,Sardinelle ronde=24846,Sprat=10814,Sardine=8711,n/a,n/a,194,53,247,60960,68891
MT,Coryphène=559,Espadon=267,Thon rouge=261,Aiguillat=32,Mérou=18,1298,5612,1372,22,1394,15064,97710
NL,Merlan bleu=96607,Hareng=95915,Chinchard=63599,Sardinelle ronde=45414,Plie=23947,781360,335687,231,609,840,163754,388950
PL,Sprat=55891,Hareng=22070,Morue=15947,Flet=9427,Sébaste du Nord=4456,n/a,n/a,649,222,871,31241,99403
PT,Sardine=74132,Maquereau espagnol=17820,Chinchard=17314,Sébaste=12806,Bonite à ventre rayé=11179,162526,213021,7946,720,8666,106624,380730
RO,Carassin=2507,Brème commune=1278,Sprat=491,Gardon=250,Silure=233,n/a,n/a,416,24,440,2606,8700
SI,Anchois=410,Sardine=298,Carpe commune=80,Sprat=39,Merlan=33,931,1514,149,20,169,962,10234
FI,Hareng=79955,Sprat=19020,Perche=13144,Brochet=10165,Corégone=4612,26135,9296,3058,108,3166,15994,167746
SE,Hareng=103352,Sprat=102748,Lançon=32767,Morue=13247,Maquereau=3386,270170,116577,1214,347,1561,43497,215677
GB,Hareng=109611,Maquereau=103046,Merlan bleu=82141,Langoustine=41401,Aiglefin=39799,426049,679924,4427,2413,6840,212609,860954
AT,Poisson d'eau douce=360,n/a=n/a,n/a=n/a,n/a=n/a,n/a=n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CZ,Carpe commune=3656,Brème commune=217,Brochet=156,Sandre=147,Carpe herbivore=92,n/a,n/a,n/a,n/a,n/a,n/a,n/a
LU,n/a=n/a,n/a=n/a,n/a=n/a,n/a=n/a,n/a=n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
HU,Carpe commune=3737,Carpe=1385,Carpe argentée=754,Carpe herbivore=393,Brochet=275,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SK,Carpe commune=1184,Brème commune=95,Carassin=72,Sandre=65,Brochet=61,n/a,n/a,n/a,n/a,n/a,n/a,n/a
EU,Carpe commune=0,Brème commune=0,Carassin=0,Sandre=0,Brochet=0,4442604,6701753,72776,15744,88520,1922528,7021096
